Ligand	Receptor
A2M	LRP1
AANAT	MTNR1B,MTNR1A
ACE	BDKRB2,AGTR2
ACE2	SLC6A19
ACTR2	LDLR,LRP2,ADRB2
ADA	DPP4
ADAM10	GPNMB,TSPAN5,TSPAN15,CD44,TSPAN10,CADM1,TSPAN14,NOTCH1,IL6R,MET,TSPAN17,EPHA3,TREM2,AXL,NRCAM,TSPAN12,NOTCH2
ADAM12	ITGB1,SDC4,ITGA9
ADAM15	ITGB1,ITGB3,ITGAV,ITGA9,ITGA5
ADAM17	MUC1,ITGB1,RHBDF2,IL6R,MET,ERBB4,NOTCH1,ITGA5
ADAM2	ITGB1,CD9,ITGA6,ITGB7,ITGA9
ADAM28	ITGA4
ADAM9	ITGA3,ITGAV,ITGB5,ITGB1,ITGA6
ADAMTS3	CCBE1
ADCYAP1	ADCYAP1R1,SCTR,RAMP3,RAMP2,VIPR2,ADRB2,PTH1R,VIPR1,ADRB3,DPP4,GPR20,TSHR,GPR84
ADIPOQ	GPR42,ADIPOR1,ADIPOR2,CNR2
ADM	ADCYAP1R1,TSHR,GPR84,RAMP3,RAMP2,RAMP1,GPR182,ADRB2,PTH1R,VIPR1,ADRB3,CALCR,GPR20,CALCRL
ADM2	ADCYAP1R1,CALCRL,TSHR,GPR84,RAMP3,RAMP2,RAMP1,ADRB2,PTH1R,VIPR1,ADRB3,CALCR,GPR20
AFDN	EPHB6,NRXN3,NECTIN3,NECTIN2,NECTIN1,NRXN2,EPHB3,NECTIN4,F11R,EPHA7,EPHB2
AGRN	ITGB1,ATP1A3,LRP1,LRP2,MUSK,LRP4
AGRP	MC4R,MC5R,SDC3,MC3R
AGT	AGTR1,AGTR2,MAS1,LRP2,ENPEP,ADRA2A,MTNR1A,GRM7
AGTRAP	RACK1
AHSG	INSR
ALB	LRP2
ALKAL1	ALK
ALKAL2	ALK
ALOX5AP	ALOX5
AMELX	LAMP1
AMH	ACVR1,EGFR,AMHR2
ANG	EGFR
ANGPT1	ITGA5,TIE1,TEK,ITGB1
ANGPT2	TIE1,TEK
ANGPT4	TIE1,TEK
ANGPTL1	TEK
ANGPTL2	LILRB2,TIE1
ANGPTL3	ITGB3,ITGAV,ITGA5
ANGPTL4	GPIHBP1,TIE1
ANOS1	SDC2,FGFR1
ANXA1	FPR2,FPR1,DYSF,EGFR,ADRA2A,MTNR1A,FPR3,GRM7
APELA	APLNR
APLN	APLNR,ADRA2A,MTNR1A,GRM7
APOA1	ABCA1,LRP2,LDLR,LRP1
